"OBJECTID_1","TYPE","ADDRESS","SCHOOL","PHONE_1"
81,"Charter","1700 28th Ave","EFC UPPER ELEMENTARY (4-5)","(510) 904-6440"
82,"Charter","967 Stanford Ave","ENVISION ACADEMY OF ARTS & TECH (COUNTY APPROVED)(9)","(510) 596-8901"
83,"Charter","1600 Broadway","LIGHTHOUSE COMMUNITY CHARTER HIGH SCHOOL (9-10)","(510) 271-8801"
84,"Charter","8601 MacArthur Blvd.","LPS COLLEGE PARK (9-10)","(510) 633-0750"
85,"Charter","1000 42nd St.","NORTH OAKLAND COMMUNITY CHARTER SCHOOL (K-5)","(510) 655-0540"
86,"Charter","171 12th Street","OAKLAND CHARTER HIGH (OCH)","(510) 532-6751"
87,"Charter","1800 San Pablo Ave","OAKLAND SCHOOL FOR THE ARTS (6-12)","(510) 873-8800"
88,"Charter","6038 Brann St.","OAKLAND UNITY HIGH SCHOOL (9-12)","(510) 635-7170"
89,"Charter","285 17th St. Suite 100","OASIS HIGH SCHOOL (9-12)","(510) 251-8103"
90,"Charter","8425 MacArthur Blvd","REEMS (E.C.) ACADEMY OF TECHNOLOGY & ART (K-8)","(510) 729-6635"
91,"Charter","1700 28th Ave","WORLD ACADEMY (EFC-EOCC)","(510) 904-6400"
92,"Elementary","6686 Chabot Rd","CHABOT ELEMENTARY","(510) 879-1060"
93,"Elementary","890 Brockhurst St","HOOVER ELEMENTARY","(510) 879-1700"
94,"Elementary","960 10th St","M L KING JR ELEMENTARY","(510) 879-1820"
95,"Elementary","460 63rd STREET","PERALTA ELEMENTARY","(510) 879-1450"
96,"Elementary","915 54th St","SANTA FE ELEMENTARY","(510) 879-1500"
97,"Elementary","1025 E 28th St","BELLA VISTA ELEMENTARY","(510) 879-1020"
98,"Elementary","525 Midcrest Rd","CROCKER HIGHLANDS ELEMENTARY","(510) 879-1110"
99,"Elementary","915 Foothill Blvd","FRANKLIN ELEMENTARY","(510) 879-1160"
100,"Elementary","4215 La Cresta Ave","GLENVIEW ELEMENTARY","(510) 879-1190"
101,"Elementary","1100 3rd Ave","LA ESCUELITA ELEMENTARY","(510) 879-1210"
102,"Elementary","824 29th Ave","LAZEAR ELEMENTARY","(510) 879-1320"
103,"Elementary","2409 E 27th St.","MANZANITA COMMUNITY SCHOOL","(510) 879-1370"
104,"Elementary","2409 E. 27th St","MANZANITA SEED","(510) 879-1373"
105,"Elementary","11900 Campus Dr","CARL MUNCK ELEMENTARY","(510) 879-1680"
106,"Elementary","5222 Ygnacio Ave","HORACE MANN ELEMENTARY","(510) 879-1360"
107,"Elementary","3750 Brown Ave","LAUREL ELEMENTARY","(510) 879-1310"
108,"Elementary","7220 Krause Ave","MARKHAM ELEMENTARY","(510) 879-1380"
109,"Elementary","8000 BIRCH STREET","EAST OAKLAND PRIDE"," "
110,"Elementary","10315 E St.","ESPERANZA ACADEMY","(510) 879-1551"
111,"Elementary","10315 E St.","FRED T. KOREMATSU DISCOVERY ACADEMY","(510) 879-2795"
112,"Elementary","3400 Malcolm Ave","MARSHALL ELEMENTARY","(510) 879-1740"
113,"Elementary","8521 A St","NEW HIGHLAND ACADEMY","(510) 879-1260"
114,"Elementary","8521 A St","RISE COMMUNITY SCHOOL","(510) 879-2553"
115,"Elementary","470 El Paseo Dr","SOBRANTE PARK ELEMENTARY","(510) 879-1540"
116,"Elementary","8000 Birch St","WEBSTER ACADEMY","(510) 879-1620"
117,"Middle","2629 Harrison St","WESTLAKE MIDDLE SCHOOL","(510) 879-2130"
118,"Middle","1800 98th Ave","ALLIANCE ACADEMY","(510) 879-2733"
119,"Middle","3748 13th Ave","EDNA M BREWER MIDDLE SCHOOL","(510) 879-2100"
120,"Middle","1800 98th Ave","ELMHURST COMMUNITY PREP","(510) 879-2021"
121,"Middle","5328 BRANN STREET","MELROSE LEADERSHIP ACADEMY","(510) 879-1530"
122,"High","8601 MacArthur Blvd","BUSINESS & INFORMATION TECHNOLOGY HIGH SCHOOL","(510) 879-3010x443"
123,"High","8601 MacArthur Boulevard","CASTLEMONT COMMUNITY OF SMALL SCHOOLS","(510) 879-3010"
124,"High","8601 MacArthur Blvd","EAST OAKLAND SCHOOL OF THE ARTS","(510) 879-3010x498"
125,"High","12250 Skyline Blvd","SKYLINE HIGH SCHOOL","(510) 879-3060"
126,"High","417 29th St","STREET ACADEMY","(510) 879-3130"
127,"High","8251 Fontaine St","YES, YOUTH EMPOWERMENT SCHOOL","(510) 879-8877"
128,"High","1240 18th St","BUNCHE ACADEMY","(510) 879-1730"
129,"High","4610 Foothill Blvd","COLLEGE PREP & ARCHITECTURE ACADEMY","(510) 879-1131"
130,"High","1111 2nd Avenue","DEWEY ACADEMY","(510) 879-3100"
131,"High","5263 Broadway Terrace","FAR WEST","(510) 879-1580"
132,"High","4610 Foothill Blvd","MANDELA HIGH SCHOOL","(510) 879-1141"
133,"High","4610 Foothill Blvd","MEDIA COLLEGE PREP","(510) 879-1597"
134,"High","314 E 10th St","MET WEST","(510) 879-0235"
135,"High","4351 Broadway","OAKLAND TECHNICAL HIGH SCHOOL","(510) 879-3050"
136,"High","4610 Foothill Blvd","ROBESON SCHOOL OF VISUAL & PERFORMING ARTS","(510) 879-1237"
137,"Middle","5750 College Ave","CLAREMONT MIDDLE SCHOOL","(510) 879-2010"
138,"Elementary","6328 E 17th St","WHITTIER ELEMENTARY","(510) 879-1630"
139,"Charter","3637 Magee Ave","AMERICAN INDIAN PUBLIC CHARTER SCHOOL (5-8)","(510) 482-6000"
140,"Elementary","6328 East 17th Street","GREENLEAF ELEMENTARY"," "
141,"Charter","991 14th Street","KIPP BRIDGE COLLEGE PREPARATORY","(510) 879-2421"
142,"Elementary","3200 Boston Ave","FRUITVALE ELEMENTARY","(510) 879-1170"
143,"Charter","345 12th St. at Webster","LIGHTHOUSE COMMUNITY CHARTER SCHOOL (K-4 & 6-8)","(510) 271-8801"
144,"Elementary","3670 Penniman Ave","ALLENDALE ELEMENTARY","(510) 879-1010"
145,"Charter","3626-3628 35th Ave","AMERICAN INDIAN PUBLIC HIGH SCHOOL (9-10)","(510) 482-6000"
146,"Middle","991 14TH Street","WEST OAKLAND MIDDLE SCHOOL"," "
