ID,program,agency,address,city,state,zip,district,phone,fax,tdd,email,web,duration,description,eligibility,days,hours,ages,fees,access,translation,computer,leadership,leadershipage,appdeadline,requirements,translator,bus,locations,bart,volunteer,logo,minage,contactemail,photo,download,contact,contactphone,password,user,approved,other,notes,provider,mapaddress,services
17,Alateen,,"15287 Hesperian Boulevard, #5",San Leandro,CA,94578,,(510) 276-2270,,,,,Year Round,Alateen is a 12-step program for young people living in alcohol abuse home situations. Literature and information are dispersed and weekly meetings are held at various locations.,,,,"0-5, 6-12, 13-18",No,Wheelchair access,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,"15287 Hesperian Boulevard, #5","Family Support/Counseling, Health/Wellness"
18,Alcohol Policy Network / YPP,,3101 Telegraph Avenue,Berkeley,CA,94705,,(510) 548-8233,(510) 548-0485,,,www.alcoholpolicynetwork.org,Year Round,"Alcohol Policy Network/YPP provides information, consultation, media advocacy and other services to individuals, organizations, community groups and governmental entities that help to reduce the environmental risk of alcohol and other problems. YPP is a youth driven environmental prevention and advocacy project that helps teens identify problems in their neighborhoods, create strategies and campaigns for change and take action to reduce the risks of alcohol.",,,,13-18,No,Wheelchair access,,,,,,,,"40, 40L",,Ashby,Yes,,Minimum age to volunteer: 11,,nophoto.gif,,,,welcome,,Yes,,,,3101 Telegraph Avenue 94705,"Family Support/Counseling, Youth Leadership/Volunteer"
19,American Indian Child Resource Center (AICRC),,522 Grand Avenue,Oakland,CA,94610,,(510) 208-1870,(510) 208-1886,,,www.aicrc.org,Year Round,"AICRC provides social services in the way of foster care, child neglect treatment, Indian 
Child Welfare Act advocacy, counseling and resource referrals. ?21 Generations,? the agency?s adolescent pregnancy prevention program, has a peer education program that promotes health education. The Indian Education Center provides tutoring, mentoring, youth advocacy and academic support.",,,,"0-5, 6-12, 13-18",No,,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,522 Grand Avenue 94610,"Education/Academic Support, Family Support/Counseling, Health/Wellness"
20,Ann Martin Children?s Center,,1250 Grand Avenue,Piedmont,CA,94610,,(510) 655-7880,(510) 655-3379,,,www.annmartin.org,Year Round,"Ann Martin Children?s Center is dedicated to the evaluation and treatment of emotional, behavioral, learning, and school-related problems in children, adolescents, families, and adults. The Center provides psychotherapy and specialized learning services.",,,,"0-5, 6-12, 13-18",Yes,,,,,,,,,12,,19th St. Oakland,,,,,nophoto.gif,,,(510) 655-7880,welcome,,Yes,,,,1250 Grand Avenue 94610,"Education/Academic Support, Family Support/Counseling"
21,Asian Community Mental Health Services (ACMHS),,"310 8th Street, #201",Oakland,CA,94607,,(510) 451-6729,(510) 268-0202,,,www.acmhs.org,Year Round,"ACMHS offers behavioral health care services including mental health, alcohol and other drug treatment services.  ACMHS also offers services to the developmentally disabled, including case management and independent living skills. Family support services include leadership development, teen pregnancy education, resistance to gang violence, delinquency, and risky behavior.",,,,"0-5, 6-12, 13-18",,,,,,,,,,,Some school sites,,,,,mishellej@acmhs.org,nophoto.gif,,Mishelle Jin,,welcome,,Yes,,,,310 8th Street 94607,"Family Support/Counseling, Health/Wellness"
22,Asian & Pacific Islander Youth Promoting Advocacy,Youth Promoting Advocacy and Leadership,"310 8th Street, #201",Oakland,CA,94607,,,,,,,Year Round,"AYPAL is a place where youth come together to talk about common issues and experiences, make new friends, and develop relationships with caring adults.  AYPAL enhances Asian Pacific Islander youth in community activism, promotes justice and helps youth develop an understanding of their own cultural heritage and the cultural heritage of others.",,,,"0-5, 6-12, 13-18",No,,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,"310 8th Street, 94607","Cultural/Arts, Education/Academic Support"
23,Asian Pacific Psychological Services (APPS),,"431 30th Street, #6A",Oakland,CA,94609,,(510) 835-2777,(510) 835-0164,,,www.appsweb.org,Year Round,APPS is a nonprofit community-based mental health agency committed to providing culturally and linguistically competent mental health services to the Asian Pacific community. APPS? priority is serving disadvantaged Asian immigrants and refugee families who otherwise have had limited access to care.,,,,6-12,,,,,,,,,Many languages,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,"431 30th Street, 94609","Family Support/Counseling, Health/Wellness"
24,Asian Youth Services Committee (AYSC),,"388 9th Street, #259",Oakland,CA,94607,,(510) 238-7930,(510) 238-4710,,,www.asianyouth.org,Year Round,"The AYSC is an organization sponsored by the Oakland Police Department and coordinated by volunteer adult advisors and local youth. Nine youth members serve on an executive committee, which meets bimonthly. AYSC members participate in neighborhood and park clean-ups, organize four annual social dances, a basketball tournament, an essay scholarship contest, and an annual retreat to Lake Tahoe. The AYSC also sponsors a traditional Lion Dance Team.",,,,"6-12, 13-18",No,Wheelchair access,"Chinese, Vietnamese",,,,,,Many languages,"58, 51, 11, 15, 40, 43, 12",,12th St. Oakland City Center,Yes,,minimum age:14,,nophoto.gif,,,,welcome,,Yes,,,,"388 9th Street, 94607","Recreational/Social, Youth Leadership/Volunteer"
25,Attitudinal Healing Connection (Art Esteem),,3278 West Street,Oakland,CA,94608,,(510) 652-5530,(510) 652-8233,,,www.ahc-oakland.org,Year Round,"Art Esteem is an early childhood violence 
prevention program that uses self-reflective art 
and conflict resolution tools as a way to encourage community building and raise self-esteem. Art Esteem serves children in West Oakland.",,,,"6-12, 13-18",No,,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,3278 West Street 94608,"Education/Academic Support, Recreational/Social"
26,Babe Ruth Baseball League,,,Oakland,CA,,,(510) 639-7792,,,,,After School,"Presenting America?s favorite spring-time activity! The Babe Ruth League works with youngsters in developing a hard working spirit. For more information on enrollment and eligibility, please call the hotline at (510) 639-7792.",,,,"6-12, 13-18",Yes,,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,,"Athletics, Recreational/Social"
27,Bananas Inc.,,5232 Claremont Avenue,Oakland,CA,94618,,(510) 658-7353,(510) 658-8354,,,www.bananasinc.org,Year Round,"Bananas Inc. provides comprehensive information and referrals on child care and children?s services to parents and providers who live in Northern Alameda County. Whatever the question, if you?re ?going BANANAS,? and need information related to children or child rearing, call BANANAS.",,Monday-Friday,"hours vary, please call","0-5, 6-12, 13-18",No,Wheelchair access,"English, Spanish, Chinese, Vietnamese",,,,,Varies according to program,Many languages,AC Transit 12 and 40 within 1 block,,Rockridge,Yes,,14+,,nophoto.gif,,Arlyce Currie,(510) 658-7353,welcome,,Yes,,DONE - 041706 - tel,,5232 Claremont Avenue 94618,"Cultural/Arts, Education/Academic Support, Family Support/Counseling"
28,Bay Area Hispano Institute for Advancement (BAHIA),,1000 Camelia Street,Berkeley,CA,94710,,(510) 525-1463,(510) 524-1317,,,,Year Round,"The Bay Area Hispano Institute for Advancement, Inc. provides quality bilingual and multicultural child development education to children ages 2-10 years of age, particularly serving low-income Latino families of Northern Alameda County, enabling them to improve the quality of life of their children.",,,,"0-5, 6-12",,Wheelchair access,Spanish,,,,,,Yes,72/ 52L,,North Berkeley,,,,centroVida1975@aol.com,nophoto.gif,,(510) 525-1463,,welcome,,Yes,,,,1000 Camelia Street 94710,Education/Academic Support
29,Bay Area Outreach Recreation Program (BORP),,"830 Bancroft Way, #205",Berkeley,CA,94710,,(510) 849-4663,(510) 849-4616,,,,Year Round,"BORP provides and promotes sports, recreation, and fitness programs for people with disabilities 
of all ages. Activities include wheelchair basketball, goalball (for visually impaired), adapted cycling, skiing, kayaking, and outings, such as theater, museum trips, and local hikes.",,,,"0-5, 6-12, 13-18",,Wheelchair access,,,,,,,Yes,,,,Yes,,,rick@borp.org,nophoto.gif,,Rick Spittler,,welcome,,Yes,,,,"830 Bancroft Way, 94710","Recreational/Social, Youth Leadership/Volunteer"
30,Berkeley Youth Alternatives (BYA),,1255 Allston Way,Berkeley,CA,94702,,(510) 845-9010,(510) 849-1421,,,www.byaonline.org,Year Round,"BYA provides positive outlets for youth. Services include: a low-cost, quality pre-school, after school program, summer day camp, sports and fitness/basketball leagues, job training/youth employment (nutrition education, community gardening and landscaping) teen center (DJ training music/video production, lyrics workshop) as well as individual, group and family counseling.",,,,"0-5, 6-12, 13-18",,Wheelchair access,Spanish,,,,,,Yes,51,,North Berkeley,Yes,,minimum age: 15,,nophoto.gif,,,,welcome,,Yes,,,,1255 Allston Way 94702,"Education/Academic Support, Family Support/Counseling"
31,Big Brothers Big Sisters of the East Bay,,"7700 Edgewater Drive, #672",Oakland,CA,94621,,(510) 729-5050,(510) 562-6019,,,www.bigseastbay.org,Year Round,Big Brothers Big Sisters is a one-to-one youth/adult mentoring relationship for males and females.,,,,6-12,,,,,,,,,,,,Coliseum/Oakland Airport,Yes,,,,nophoto.gif,,,,welcome,,Yes,,,,"7700 Edgewater Drive, 94621","Recreational/Social, Youth Leadership/Volunteer"
32,Boys Scouts of America,,1001 Davis Street,San Leandro,CA,94577,,(510) 577-9000,(510) 577-9002,,,www.sfbac.org,Year Round,"The San Francisco Bay Area Council serves over 46,000 youth in San Francisco and Alameda Counties. Scouting programs are based around character, citizenship and fitness development as well as a challenging outdoor program.",,,,"6-12, 13-18",,Wheelchair access,,,,,,,,,Throughout the Bay Area,,Yes,,,,nophoto.gif,,KKaren Pahler,(510) 577-9000  107,welcome,,Yes,,,,1001 Davis Street 94577,"Education/Academic Support, Recreational/Social, Youth Leadership/Volunteer"
33,Boys and Girls Clubs of Oakland,,P.O. Box 23203,Oakland,CA,94623,,(510) 444-8211,(510) 444-8224,,,www.bgcoakland.org,Year Round,"The purpose of the Boys and Girls Clubs is to enhance the moral, mental and physical well-
being of Oakland?s youth by providing specially designed services. Boys and Girls Clubs offer youth development services through small group and team activities. There are also supervised sports, technology, field trips, arts and crafts, and music.",,,,"6-12, 13-18",,Wheelchair access,,,,,,,,,,,Yes,,minimum age: 14,,nophoto.gif,,Breianna Davis,(510) 444-8211,welcome,,Yes,,faxed 041706,,,"Education/Academic Support, Employment/Job Readiness, Leadership, Recreational/Social, Youth Leadership/Volunteer"
34,Building Opportunities for Self-Sufficiency (BOSS),,"2065 Kittredge Street, #E",Berkeley,CA,94704,,(510) 649-1930,(510) 649-0627,,,www.self-sufficiency.org,Year Round,"BOSS is dedicated to helping poor, homeless, and disabled people to achieve health and self-sufficiency by fighting against the root causes of poverty and homelessness. They work with over 3,500 homeless and poorly-housed children, youth, families, and individuals each year to help them achieve self-sufficiency. To do this, they utilize four proven strategies: economic development, health, housing, and social justice. BOSS provides multiple programs in Berkeley, Oakland and Hayward.",,,,"0-5, 6-12, 13-18",,Wheelchair access,Spanish,,,,,,Many languages,,,,Yes,,minimum age to volunteer: 17,,nophoto.gif,,MASC,(510) 843-3700,welcome,,Yes,,,,"2065 Kittredge Street, 94704","Family Support/Counseling, Youth Leadership/Volunteer"
35,Cal-Works / OUTREACH,,"22455 Maple Court, #402",Hayward,CA,94541,,(510) 582-0148,(510) 582-8460,,,,Year Round,"Provides Behavioral Health Care / CALWORKS outreach. Helps  CALWORKS clients get access to services such as: counseling, support groups, stress reduction classes, alcohol and other drug treatment, domestic violence support, parenting classes, and educational support.",,,,"0-5, 6-12, 13-18",,,"English, Spanish, Chinese",,,,,,Many languages,,,,,,,ccranshaw@psshelps.org,nophoto.gif,,Cheryl Cranshaw,(510) 582-0148,welcome,,Yes,,,,"22455 Maple Court, 94541","Education/Academic Support, Health/Wellness"
37,Casey Family Programs,,491 9th St.,Oakland,CA,94607,,(510) 444-4025,(510) 444-4095,,,www.casey.org,Year Round,"The Casey Family Program provides services to foster care youth, such as transitional skills training, person centered planning strategic tutoring, job readiness, learning styles and self-sufficiency.",,,,13-18,,,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,491 9th St. 94607,Mentoring
38,Catholic Charities of the East Bay,,433 Jefferson Street,Oakland,CA,94607,,(510) 768-3100,(510) 451-6998,,,www.cceb.org,Year Round,"Catholic Charities of the East Bay serves people 
in need, advocates for justice in social structures, and collaborates with others to build just, compassionate communities. Its mission is to serve the poor, the marginalized, and those who have minimal access to services elsewhere. Services are provided to anyone in need, regardless of religious affiliation, race, ethnicity or sexual orientation.",,,,"0-5, 6-12, 13-18",,Wheelchair access,"English, Spanish, Vietnamese",,,,,,Yes,,,12th St. Oakland City Center,Yes,,minimum age:  10,,nophoto.gif,,,,welcome,,Yes,,,,433 Jefferson Street 94607,"Employment/Job Readiness, Family Support/Counseling, Youth Leadership/Volunteer"
39,Center for AIDS Services,,5720 Shattuck Avenue,Oakland,CA,94609,,(510) 655-3435,(510) 655-2543,,,,Year Round,The Center for AIDS Services is a drop-in day center for people living with HIV and AIDS. They provide a number of services for a variety of people. Volunteers are needed to work in the kitchen and help with childcare.,,,,"0-5, 6-12, 13-18",No,Wheelchair access,,,,,,,,43,,Ashby,,,,,nophoto.gif,,Ann Speyer,(510) 655-3435,welcome,,Yes,,,,5720 Shattuck Avenue 94609,"Family Support/Counseling, Health/Wellness"
40,Center for Family Counseling,,"9925 International Blvd., #6",Oakland,CA,94603,,(510) 562-3731,(510) 562-3734,,,www.cffc.biz,Year Round,The Center for Family Counseling provides free comprehensive and culturally sensitive counseling services to at-risk youth and their families that reside in Oakland.,,,,"6-12, 13-18",,Wheelchair access,,,,,,,Yes,"82, 82L, 98",,Coliseum/Oakland Airport,,,,cffc@sbcglobal.net,nophoto.gif,,Paula Barber,(510) 562-3731,welcome,,Yes,,,,"9925 International Blvd., 94603",Family Support/Counseling
41,Center for Independent Living,,2539 Telegraph Avenue,Berkeley,CA,94704,,(510) 841-4776,(510) 841-6168,848-3101,,www.cilberkeley.org,Year Round,"The Center for Independent Living is a national leader in helping people with disabilities to live independently and become productive members 
of society.",,,,"0-5, 6-12, 13-18",No,Wheelchair access,Spanish,,,,,,Yes,41,,Fruitvale,Yes,,minimum age: 18,,nophoto.gif,,Jan Garrett,(510) 841-4776,welcome,,Yes,,,,2539 Telegraph Avenue 94704,"Family Support/Counseling, Youth Leadership/Volunteer"
42,Centro Legal de la Raza,,"1001 Fruitvale Avenue, 2nd Floor",Oakland,CA,,,510) 437-1554,(510) 437-9164,,,www.centrolegal.org,Year Round,"Centro Legal de la Raza provides legal representation, advocacy, community education and policy development regarding student educational and civil rights.",,,,"0-5, 6-12, 13-18",,,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,"1001 Fruitvale Avenue, 94601","Education/Academic Support, Family Support/Counseling, Health/Wellness"
43,Clinica Alta Vista,,1515 Fruitvale Ave.,Oakland,CA,94601,,510) 535-4230,(510) 535-4019,,,www.laclinica.org,Year Round,"Clinica Alta Vista offers comprehensive health care 
to youth and their babies, including general medicine, family planning, health education and mental health services.",,,,"0-5, 6-12, 13-18",,Wheelchair access,"English, Spanish",,,,,,Yes,,,Fruitvale,Yes,,minimum age: 15,,nophoto.gif,,Tracy Macdonald,(510) 535-6327,welcome,,Yes,,DONE - 041706 ka - tel,,1515 Fruitvale Ave. 94601,"Family Support/Counseling, Health/Wellness, Youth Leadership/Volunteer"
44,Covenant House,,2781 Telegraph Avenue,Oakland,CA,94612,,(510) 625-7800,(510) 625-7811,,,,Year Round,"The Covenant House provides counseling, job training, assistance, and employment training resources. It also provides  case management, child advocacy and shelter information, as well as assistance in obtaining identification, social security cards and birth certificates.",,,,"0-5, 6-12, 13-18",,Wheelchair access,"English, Spanish",,,,,,Yes,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,2781 Telegraph Avenue 94612,"Education/Academic Support, Employment/Job Readiness, Family Support/Counseling"
45,Chabot Space and Science Center,,10000 Skyline Blvd.,Oakland,CA,94619,,(510) 336-7300,(510) 336-7491,,,www.chabotspace.org,Year Round,"Bringing astronomy to the Bay Area for over 110 years, the Center enables Oakland to ?touch the stars? via telescopes and planetarium shows. Now in its new location, a facility which features telescopes, the Zeiss Universarium Planetarium, Mega Systems Theater, exhibit halls, labs and classrooms plus a challenger learning center. The Center offers Oakland even more opportunities to explore astronomy and science. Youth volunteers who are at least 13 and have completed seventh grade are eligible to apply to the youth program.",,,,"0-5, 6-12, 13-18",,Wheelchair access,"English, Spanish",,,,,,Yes,53,,Fruitvale,Yes,,minimum age: 13,,nophoto.gif,,,,welcome,,Yes,,DONE 051206 - no changes made,,10000 Skyline Blvd. 94619,"Recreational/Social, Youth Leadership/Volunteer"
46,Child Assault Prevention Training Center,,21455 Birch Street,Hayward,CA,94541,,(510) 583-0414,(510) 583-0410,,,www.ebac.org,Year Round,"The Child Assault Prevention Training Center is  a child abuse/youth violence prevention education program serving children and youth, parents, community, and youth serving professionals.",,,,"0-5, 6-12, 13-18",Sliding scale,,"English, Spanish, Chinese, Vietnamese",,,,,,Many languages,,,,Yes,,minimum age: 13,,nophoto.gif,,,,welcome,,Yes,,,,21455 Birch Street 94541,"Family Support/Counseling, Health/Wellness"
47,Children?s Hospital Oakland,Children?s Hospital Oakland,747 52nd Street,Oakland,CA,94609,,(510) 428-3471,(510) 597-7123,,,,Year Round,"Children?s Hospital Oakland is dedicated to the treatment of babies, children, and adolescents; and to the training of medical personnel in pediatrics. The hospital serves as the medical safety net for Alameda County?s children. No patient is turned away for lack of funds. In the hospital?s Teen Center which receives about 3,000 visits a year, care focuses on safe sex education, stress reduction, values clarification, decision-making and other activities essential to healthy adolescent development.",,,,"0-5, 6-12, 13-18",,Wheelchair access,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,747 52nd Street 94609,"Family Support/Counseling, Health/Wellness"
